condition,n,total_reward_mean,total_reward_std,total_reward_ci95_lo,total_reward_ci95_hi,quality_score_mean,quality_score_std,quality_score_ci95_lo,quality_score_ci95_hi,pass_rate,pub_ge_06_rate,pub_ge_090_rate,mean_cost_rub,mean_time_s
full,50,0.966686,0.024021,0.95979,0.972876,0.8926,0.041933,0.881,0.904,1.0,1.0,0.96,13.8735,113.56576
no_rag,50,0.865105,0.006536,0.863352,0.866895,0.9168,0.034312,0.9076,0.9262,1.0,1.0,0.0,10.11554,90.59326
no_bon,50,0.953466,0.039539,0.94175,0.963428,0.873878,0.041323,0.861837,0.885102,0.98,1.0,0.92,3.65957,84.8527
no_self_test,50,0.973524,0.019752,0.967638,0.978381,0.894,0.039227,0.8822,0.9038,1.0,1.0,0.98,14.08425,82.32568
