cve_id,condition,batch_id,batch_status,total_reward,quality_score,gate_FORMAT,gate_FUNCTIONAL,gate_SOLVABILITY,gate_NON_TRIVIALITY,soft_RAG_GROUNDING,soft_CVE_RELEVANCE,passed_all_binary,pub_ge_06,pub_ge_090,is_selected,selection_status,solvability_source,xss_selftest_live,n_selftest_live,tokens_in,tokens_out,selftest_cost_rub,cost_rub,wall_clock_s
CVE-2026-39374,no_bon,0db00da1-6dd0-4a63-8913-2194ddc2d3e2,completed,0.942857,0.7,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6151,1622,0.0,2.6563,66.699
CVE-2026-7123,full,77fb616e-5551-41ea-a022-c42969e140d0,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,32630,6172,0.0,12.875,88.684
CVE-2026-7123,no_rag,94c9a1a9-32c7-40a8-a419-ac4a25d8e41b,completed,0.858095,0.88,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18150,6804,0.0,8.847,79.676
CVE-2026-7123,no_bon,dc53d48c-f044-4f48-95c3-00b1bbf4e957,completed,0.870476,0.62,1,1,1,1,1.0,0.4,1,1,0,1,selected,,,,6545,1614,0.0,2.7705,76.392
CVE-2025-43427,full,60b75c30-b889-4985-a8c9-fa4f5b1ee9a6,completed,0.979048,0.89,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,28605,5877,0.0,11.52,100.737
CVE-2025-43427,no_rag,85eac51e-7f49-44f5-b99f-980d95b8f49e,completed,0.865714,0.92,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18285,7617,0.0,9.294,88.3
CVE-2025-43427,no_bon,af333df6-be59-4203-a769-045196985f0a,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,5721,1221,0.0,2.3268,65.26
CVE-2026-34309,full,61eaeef9-d18d-4cbe-a46f-cc331c8d34e8,completed,0.982857,0.91,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,32205,5109,0.0,12.216,90.089
CVE-2026-34309,no_rag,a8a9c911-a5cc-4c38-82a4-71dba81c250a,completed,0.865714,0.92,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18275,8062,0.0,9.5135,104.668
CVE-2026-34309,no_bon,4390903e-27fe-4ddc-90b3-3bacd95afdad,completed,0.965714,0.82,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6442,886,0.0,2.3756,60.999
CVE-2026-23536,full,568ce759-3bee-4251-a277-4591a405b92f,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,30480,6754,0.0,12.521,93.736
CVE-2026-23536,no_rag,3a8b4bdf-9a17-4ec3-bd3c-a329565e4af3,completed,0.865714,0.92,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18280,8795,0.0,9.8815,96.657
CVE-2026-23536,no_bon,b2bf7555-e16c-4bbb-b552-e50bf9e6cd1c,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6099,1097,0.0,2.3782,63.4
