cve_id,condition,batch_id,batch_status,total_reward,quality_score,gate_FORMAT,gate_FUNCTIONAL,gate_SOLVABILITY,gate_NON_TRIVIALITY,soft_RAG_GROUNDING,soft_CVE_RELEVANCE,passed_all_binary,pub_ge_06,pub_ge_090,is_selected,selection_status,solvability_source,xss_selftest_live,n_selftest_live,tokens_in,tokens_out,selftest_cost_rub,cost_rub,wall_clock_s
CVE-2026-5779,no_rag,301a0c31-e763-4db6-8906-f66cdef4ab55,completed,0.846667,0.82,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18430,8430,0.0,9.744,67.119
CVE-2026-5779,no_bon,fc8c5c52-9396-48d9-aef5-5fce81823b98,completed,0.954286,0.76,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6056,1010,0.0,2.3218,50.32
CVE-2026-4394,full,9ebb29d3-7362-4213-9ab3-39110351bb14,completed,0.969524,0.84,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,32130,8931,0.0,14.1045,86.945
CVE-2026-4394,no_rag,d448bea9-a487-4133-be58-599c2d4f78e1,completed,0.846667,0.82,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18440,10357,0.0,10.7105,68.766
CVE-2026-4394,no_bon,71db4f4a-e227-4766-90de-6fdcfa1ec3b8,completed,0.967619,0.83,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6427,1982,0.0,2.9191,70.918
CVE-2026-22044,full,cd547ade-1314-448f-9d61-d3e95a786594,completed,0.965714,0.82,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,29530,6945,0.0,12.3315,72.731
CVE-2026-22044,no_rag,64e7d3ab-5fe7-468b-b045-65c5caa3b516,completed,0.869524,0.94,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18510,7501,0.0,9.3035,60.548
CVE-2026-22044,no_bon,7df014fe-28e3-40e6-bbfa-f3b91a637270,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,5934,2361,0.0,2.9607,66.961
CVE-2026-39378,full,ac08fc4f-d155-4cd1-b52f-4718125f14ae,completed,0.961905,0.8,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,31800,8067,0.0,13.5735,78.853
CVE-2026-39378,no_rag,bea94100-5d54-475c-8910-7f336a5bf37c,completed,0.854286,0.86,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18585,7542,0.0,9.3465,62.878
CVE-2026-39378,no_bon,c34b38e4-0bf6-484f-ae05-d8fd2f982438,completed,0.946667,0.87,1,1,1,1,1.0,0.7,1,1,1,1,selected,,,,6361,1570,0.0,2.6933,65.831
CVE-2026-8850,full,f5074016-5299-42a3-bf5b-4bf0cbbba310,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,33540,9316,0.0,14.72,76.964
CVE-2026-8850,no_rag,f1bc0df1-7c51-405c-bccb-82d6422c80e2,completed,0.861905,0.9,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18590,9446,0.0,10.3,70.437
CVE-2026-8850,no_bon,679f20e5-fee9-4bbc-b3b8-de96b2468faa,completed,0.892381,0.66,1,1,1,1,0.7,1.0,1,1,0,1,selected,,,,6708,2432,0.0,3.2284,71.803
